id,selection_tier,query_operator,same_operator_example_count,query_raw,answer,candidate_prediction_count,candidate_predictions,decision_rule,decision_note
7688e06e,manual_audit_priority,-,5,63-19,-55,2,-55|55,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
274def88,manual_audit_priority,-,2,85-92,92,2,-92|92,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
39fd934f,manual_audit_priority,-,2,32-23,-9,2,-9|9,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
fc7e53c7,manual_audit_priority,-,2,77-35,42,2,-42|42,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
957c70fd,manual_audit_priority,-,2,07-77,-7,3,-7|07|7,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
2049f01d,manual_audit_priority,-,1,52-75,23,2,-23|23,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
d17d3a7a,manual_audit_priority,-,1,66-67,-01,2,-01|01,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
e07fffa6,manual_audit_priority,-,1,36-32,04,2,-04|04,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
fb3f7b77,manual_audit_priority,-,1,46-83,62,2,-62|62,core_digit_small_set,prompt-local reverse-mode small-set ambiguity stayed within one digit core (sign/padding/operator decoration only); kept answer-only
04171e29,manual_audit_priority,-,2,97-65,32,2,23|32,digit_reversal_pair,prompt-local reverse-mode ambiguity narrowed to gold vs digit-reversal under multi-example same-operator evidence; kept answer-only
1ee54412,manual_audit_priority,-,2,58-85,72,2,27|72,digit_reversal_pair,prompt-local reverse-mode ambiguity narrowed to gold vs digit-reversal under multi-example same-operator evidence; kept answer-only
b99d3059,manual_audit_priority,-,2,71-46,31,2,13|31,digit_reversal_pair,prompt-local reverse-mode ambiguity narrowed to gold vs digit-reversal under multi-example same-operator evidence; kept answer-only
febd3442,manual_audit_priority,-,2,64-77,13,2,13|31,digit_reversal_pair,prompt-local reverse-mode ambiguity narrowed to gold vs digit-reversal under multi-example same-operator evidence; kept answer-only
e247d364,manual_audit_priority,!,1,65!76,11,3,!11|11|11-,wrapper_only_same_core,prompt-local reverse-mode ambiguity kept one numeric core and varied only by operator wrappers around that core; kept answer-only
