query_operator,formula_name,format_name,support_rows,gold_match_rows,error_rows,safe_operator_spec
+,x_plus_y__rev_in1_rev_out1,abs_plain,31,31,0,True
+,x_plus_y__rev_in1_rev_out1,plain,31,31,0,True
+,x_plus_y__rev_in1_rev_out1,prefix_if_negative,31,31,0,True
*,x_mul_y__rev_in1_rev_out1,abs_plain,20,20,0,True
*,x_mul_y__rev_in1_rev_out1,plain,20,20,0,True
*,x_mul_y__rev_in1_rev_out1,prefix_if_negative,20,20,0,True
+,concat_xy__rev_in1_rev_out1,string_template,20,20,0,True
*,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,14,14,0,True
*,x_mul_y_minus1__rev_in1_rev_out1,plain,14,14,0,True
*,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,14,14,0,True
*,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,14,14,0,True
*,x_mul_y_plus1__rev_in1_rev_out1,plain,14,14,0,True
*,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,14,14,0,True
+,x_plus_y_minus1__rev_in1_rev_out1,abs_plain,14,14,0,True
+,x_plus_y_minus1__rev_in1_rev_out1,plain,14,14,0,True
+,x_plus_y_minus1__rev_in1_rev_out1,prefix_if_negative,14,14,0,True
+,x_plus_y_plus1__rev_in1_rev_out1,abs_plain,14,14,0,True
+,x_plus_y_plus1__rev_in1_rev_out1,plain,14,14,0,True
+,x_plus_y_plus1__rev_in1_rev_out1,prefix_if_negative,14,14,0,True
*,concat_xy__rev_in1_rev_out1,string_template,13,13,0,True
-,abs_diff_2d_op_suffix__rev_in1_rev_out1,string_template,13,13,0,True
<,x_plus_y__rev_in1_rev_out1,abs_plain,6,6,0,True
<,x_plus_y__rev_in1_rev_out1,plain,6,6,0,True
<,x_plus_y__rev_in1_rev_out1,prefix_if_negative,6,6,0,True
%,x_mul_y__rev_in1_rev_out1,abs_plain,5,5,0,True
%,x_mul_y__rev_in1_rev_out1,plain,5,5,0,True
%,x_mul_y__rev_in1_rev_out1,prefix_if_negative,5,5,0,True
*,x_plus_y__rev_in1_rev_out1,abs_plain,5,5,0,True
*,x_plus_y__rev_in1_rev_out1,plain,5,5,0,True
*,x_plus_y__rev_in1_rev_out1,prefix_if_negative,5,5,0,True
*,concat_yx__rev_in1_rev_out1,string_template,4,4,0,True
@,x_mul_y__rev_in1_rev_out1,abs_plain,4,4,0,True
@,x_mul_y__rev_in1_rev_out1,plain,4,4,0,True
@,x_mul_y__rev_in1_rev_out1,prefix_if_negative,4,4,0,True
"""",x_mul_y__rev_in1_rev_out1,abs_plain,3,3,0,True
"""",x_mul_y__rev_in1_rev_out1,plain,3,3,0,True
"""",x_mul_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
$,x_plus_y__rev_in1_rev_out1,abs_plain,3,3,0,True
$,x_plus_y__rev_in1_rev_out1,plain,3,3,0,True
$,x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
&,x_plus_y__rev_in1_rev_out1,abs_plain,3,3,0,True
&,x_plus_y__rev_in1_rev_out1,plain,3,3,0,True
&,x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
-,concat_yx__rev_in1_rev_out1,string_template,3,3,0,True
-,x_plus_y__rev_in1_rev_out1,abs_plain,3,3,0,True
-,x_plus_y__rev_in1_rev_out1,plain,3,3,0,True
-,x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
/,x_plus_y__rev_in1_rev_out1,abs_plain,3,3,0,True
/,x_plus_y__rev_in1_rev_out1,plain,3,3,0,True
/,x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
?,concat_yx__rev_in1_rev_out1,string_template,3,3,0,True
[,concat_yx__rev_in1_rev_out1,string_template,3,3,0,True
\,x_mul_y__rev_in1_rev_out1,abs_plain,3,3,0,True
\,x_mul_y__rev_in1_rev_out1,plain,3,3,0,True
\,x_mul_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
{,concat_yx__rev_in1_rev_out1,string_template,3,3,0,True
},x_plus_y__rev_in1_rev_out1,abs_plain,3,3,0,True
},x_plus_y__rev_in1_rev_out1,plain,3,3,0,True
},x_plus_y__rev_in1_rev_out1,prefix_if_negative,3,3,0,True
!,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
!,x_mul_y__rev_in1_rev_out1,plain,2,2,0,True
!,x_mul_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
!,x_mul_y_plus1__rev_in1_rev_out1,abs_plain,2,2,0,True
!,x_mul_y_plus1__rev_in1_rev_out1,plain,2,2,0,True
!,x_mul_y_plus1__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
#,concat_yx__rev_in1_rev_out1,string_template,2,2,0,True
#,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
#,x_mul_y_minus1__rev_in1_rev_out1,abs_plain,2,2,0,True
#,x_mul_y_minus1__rev_in1_rev_out1,plain,2,2,0,True
#,x_mul_y_minus1__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
$,concat_yx__rev_in1_rev_out1,string_template,2,2,0,True
$,max_mod_min__rev_in0_rev_out1,abs_plain,2,2,0,True
$,max_mod_min__rev_in0_rev_out1,plain,2,2,0,True
$,max_mod_min__rev_in0_rev_out1,prefix_if_negative,2,2,0,True
$,x_minus_y__rev_in1_rev_out1,prefix_if_negative,2,2,0,True
$,x_mul_y__rev_in1_rev_out1,abs_plain,2,2,0,True
