formula_name,support_rows,gold_match_rows,error_rows,safe_formula
"xor(not(shl6),and(not(shr4),rol3))",4,4,0,True
"or(shr5,xor(not(ror2),shl2))",3,3,0,True
"xor(not(shl2),and(not(shr7),ror1))",3,3,0,True
"xor(not(shl5),and(not(shr4),ror2))",3,3,0,True
"xor(not(shl5),and(not(shr5),ror2))",3,3,0,True
"xor(not(shl5),and(not(shr6),ror1))",3,3,0,True
"xor(not(shl7),and(not(shr2),rol2))",3,3,0,True
"and(not(shl5),xor(not(shl7),not(shr5)))",3,2,1,False
"xor(not(shl6),shl7)",3,2,1,False
"xor(not(shr4),or(not(shl7),rol2))",3,2,1,False
"and(not(shl7),ror3)",2,2,0,False
"and(not(shr3),or(shl4,shl7))",2,2,0,False
"and(not(shr3),shl4)",2,2,0,False
"and(ror2,shl2)",2,2,0,False
"and(ror3,or(not(shl7),rol1))",2,2,0,False
"and(shl2,or(const_not_01000000,reverse))",2,2,0,False
"and(shl2,or(not(nibble_swap),not(shl7)))",2,2,0,False
"and(shl2,or(not(shl7),rol1))",2,2,0,False
"and(shl4,or(const_not_00010000,reverse))",2,2,0,False
"and(shl4,or(not(reverse),not(shr3)))",2,2,0,False
"and(shl4,or(not(rol2),not(shr3)))",2,2,0,False
"and(shl4,or(not(rol3),not(shr3)))",2,2,0,False
"and(shl4,or(not(ror1),not(shr3)))",2,2,0,False
"and(shl4,or(not(ror2),not(shr3)))",2,2,0,False
"and(shl4,or(not(ror3),not(shr2)))",2,2,0,False
"and(shl4,or(not(shl5),not(shr2)))",2,2,0,False
"and(shl4,or(not(shl6),not(shr1)))",2,2,0,False
"and(shl4,or(not(shl7),not(x)))",2,2,0,False
"and(shl4,or(not(shr3),not(x)))",2,2,0,False
"and(shl4,or(not(shr3),reverse))",2,2,0,False
"and(shl4,or(not(shr3),rol2))",2,2,0,False
"and(shl4,or(not(shr3),rol3))",2,2,0,False
"and(shl4,or(not(shr3),ror1))",2,2,0,False
"and(shl4,or(not(shr3),ror2))",2,2,0,False
"and(shl4,or(not(shr3),x))",2,2,0,False
"and(shr4,or(not(rol2),not(shl3)))",2,2,0,False
"and(shr4,or(not(shl3),not(x)))",2,2,0,False
"and(shr6,or(not(shl1),x))",2,2,0,False
"or(shl2,and(const_00001000,reverse))",2,2,0,False
"or(shl4,and(const_00100000,not(rol2)))",2,2,0,False
"or(shl4,and(const_10000000,not(ror2)))",2,2,0,False
"or(shl4,and(not(rol1),shl7))",2,2,0,False
"or(shl4,and(not(rol2),shl7))",2,2,0,False
"or(shl4,and(not(rol3),shl7))",2,2,0,False
"or(shl4,and(not(ror2),shl7))",2,2,0,False
"or(shl4,and(not(ror3),shl7))",2,2,0,False
"or(shl4,and(not(x),shl7))",2,2,0,False
"or(shl4,and(reverse,shl6))",2,2,0,False
"or(shl4,and(rol1,shl7))",2,2,0,False
"or(shl4,and(rol2,shl7))",2,2,0,False
"or(shl4,and(rol3,shl7))",2,2,0,False
"or(shl4,and(ror1,shl6))",2,2,0,False
"or(shl4,and(ror2,shl7))",2,2,0,False
