abstract_family,support_rows,gold_match_rows,distinct_exact_formula_count,error_rows,safe_abstract_family
"xor(and(not(shr),rol),not(shl))",49,49,37,0,True
"or(shr,xor(not(ror),shl))",23,23,18,0,True
"xor(not(shl),not(shr))",11,11,9,0,True
"xor(and(nibble_swap,not(shr)),not(shl))",10,10,8,0,True
"and(or(not(ror),not(shr)),shl)",10,10,7,0,True
"or(and(not(rol),shl),shl)",9,9,6,0,True
"xor(not(shl),or(not(shl),not(shr)))",8,8,4,0,True
"and(or(not(shl),not(shr)),rol)",7,7,7,0,True
"or(and(ror,shr),shr)",7,7,6,0,True
"or(and(shl,shr),shl)",7,7,5,0,True
"or(and(ror,shl),shl)",7,7,4,0,True
"xor(not(rol),or(not(shl),not(shr)))",6,6,6,0,True
"or(shr,xor(nibble_swap,not(shl)))",6,6,5,0,True
"and(or(not(rol),not(shr)),shl)",6,6,4,0,True
"and(or(not(shl),not(shr)),shl)",6,6,4,0,True
"and(or(not(shr),rol),shl)",6,6,4,0,True
"and(or(not(shr),ror),shl)",6,6,4,0,True
"and(or(const_not_mask,ror),shl)",5,5,5,0,True
"or(and(ror,shr),not(shr))",5,5,5,0,True
"or(and(rol,shr),shr)",5,5,4,0,True
shr,5,5,3,0,True
"and(and(not(ror),shr),not(rol))",4,4,4,0,True
"and(or(not(shr),rol),shr)",4,4,4,0,True
"or(and(const_mask,not(ror)),shr)",4,4,4,0,True
"or(and(not(x),shl),rol)",4,4,4,0,True
"or(not(shr),shr)",4,4,4,0,True
"xor(not(rol),or(not(ror),not(shl)))",4,4,4,0,True
"xor(not(shl),or(not(shl),rol))",4,4,4,0,True
"or(and(reverse,shl),shl)",4,4,3,0,True
"xor(and(not(shr),ror),not(shl))",45,44,30,1,False
"or(shr,xor(not(rol),shl))",23,21,19,2,False
"or(and(not(ror),shr),shr)",11,10,9,1,False
"and(not(shl),xor(not(shl),not(shr)))",11,6,8,5,False
"or(and(rol,shl),shl)",10,9,7,1,False
"or(and(const_mask,not(rol)),shl)",10,8,7,2,False
"or(and(const_mask,ror),shr)",9,7,9,2,False
"or(and(const_mask,not(ror)),shl)",9,6,8,3,False
"and(or(not(shl),rol),shl)",9,8,7,1,False
"and(or(not(ror),not(shl)),shl)",8,7,7,1,False
