id,selection_tier,query_operator,same_operator_example_count,answer,query_raw,safe_prediction,safe_prediction_count,safe_spec_count,safe_support_max,safe_specs,all_predictions
2cc274cb,answer_only_keep,+,1,6821,21+68,6821,1,1,20,+::concat_yx::string_template,6821
4df01584,answer_only_keep,+,1,1935,35+19,1935,1,1,20,+::concat_yx::string_template,1935
69aa57b3,answer_only_keep,+,1,4472,72+44,4472,1,1,20,+::concat_yx::string_template,4472
743a293d,answer_only_keep,+,1,2432,32+24,2432,1,1,20,+::concat_yx::string_template,2432
76d2ee64,answer_only_keep,+,1,9402,02+94,9402,1,1,20,+::concat_yx::string_template,9402
84af5d7e,answer_only_keep,+,1,6155,55+61,6155,1,1,20,+::concat_yx::string_template,6155
88b43464,answer_only_keep,+,1,5311,11+53,5311,1,1,20,+::concat_yx::string_template,5311
90d57388,answer_only_keep,+,1,2615,15+26,2615,1,1,20,+::concat_yx::string_template,2615
ab7809d1,answer_only_keep,+,1,2572,72+25,2572,1,1,20,+::concat_yx::string_template,2572
cd9d50e2,answer_only_keep,+,1,5293,93+52,5293,1,1,20,+::concat_yx::string_template,5293
e70d5739,answer_only_keep,+,1,6257,57+62,6257,1,1,20,+::concat_yx::string_template,6257
3831c67a,answer_only_keep,*,1,5146,46*51,5146,1,1,13,*::concat_yx::string_template,5146
4aeed935,answer_only_keep,*,1,1455,55*14,1455,1,1,13,*::concat_yx::string_template,1455
6f1211e2,answer_only_keep,*,1,6745,45*67,6745,1,1,13,*::concat_yx::string_template,6745
8021718e,answer_only_keep,*,1,6479,79*64,6479,1,1,13,*::concat_yx::string_template,6479
a8e5eca1,answer_only_keep,*,1,4274,74*42,4274,1,1,13,*::concat_yx::string_template,4274
aa8c76a1,answer_only_keep,*,1,0861,61*08,0861,1,1,13,*::concat_yx::string_template,0861
f28681ad,answer_only_keep,*,1,4314,14*43,4314,1,1,13,*::concat_yx::string_template,4314
1526c35d,answer_only_keep,"""",1,2475,"33""75",2475,1,3,4,"""::x_mul_y::abs_plain|""::x_mul_y::plain|""::x_mul_y::prefix_if_negative",2475
16699d43,answer_only_keep,+,1,10,67+57,10,1,6,4,+::abs_diff::abs_plain|+::abs_diff::plain|+::abs_diff::prefix_if_negative|+::abs_diff_2d::string_template|+::x_minus_y::abs_plain|+::y_minus_x::abs_plain,10
43837c5b,answer_only_keep,*,1,4572,45*72,4572,1,1,4,*::concat_xy::string_template,4572
74b9b0ec,answer_only_keep,[,1,16,22[38,16,1,8,4,[::abs_diff::abs_plain|[::abs_diff::plain|[::abs_diff::prefix_if_negative|[::abs_diff_2d::string_template|[::x_minus_y::abs_plain|[::y_minus_x::abs_plain|[::y_minus_x::plain|[::y_minus_x::prefix_if_negative,16
9c8eef89,answer_only_keep,"""",1,1728,"36""48",1728,1,3,4,"""::x_mul_y::abs_plain|""::x_mul_y::plain|""::x_mul_y::prefix_if_negative",1728
ee9239e9,answer_only_keep,*,1,2629,26*29,2629,1,1,4,*::concat_xy::string_template,2629
2701a005,answer_only_keep,[,1,140,88[51,140,1,3,3,[::x_plus_y_plus1::abs_plain|[::x_plus_y_plus1::plain|[::x_plus_y_plus1::prefix_if_negative,140
35a89469,answer_only_keep,[,1,9525,95[25,9525,1,1,3,[::concat_xy::string_template,9525
4011d4e5,answer_only_keep,!,1,1483,78!19,1483,1,3,3,!::x_mul_y_plus1::abs_plain|!::x_mul_y_plus1::plain|!::x_mul_y_plus1::prefix_if_negative,1483
4dcc1844,answer_only_keep,*,1,83,63*21,83,1,3,3,*::x_plus_y_minus1::abs_plain|*::x_plus_y_minus1::plain|*::x_plus_y_minus1::prefix_if_negative,83
6dda26c0,answer_only_keep,[,1,4643,46[43,4643,1,1,3,[::concat_xy::string_template,4643
8d2546a5,answer_only_keep,-,1,1211,12-11,1211,1,1,3,-::concat_xy::string_template,1211
9769bade,answer_only_keep,!,1,5163,58!89,5163,1,3,3,!::x_mul_y_plus1::abs_plain|!::x_mul_y_plus1::plain|!::x_mul_y_plus1::prefix_if_negative,5163
b69391b8,answer_only_keep,',1,66,52'14,66,1,3,3,'::x_plus_y::abs_plain|'::x_plus_y::plain|'::x_plus_y::prefix_if_negative,66
d5aa5564,answer_only_keep,*,1,45,30*16,45,1,3,3,*::x_plus_y_minus1::abs_plain|*::x_plus_y_minus1::plain|*::x_plus_y_minus1::prefix_if_negative,45
047c4111,answer_only_keep,$,1,2596,25$96,2596,1,1,2,$::concat_xy::string_template,2596
09302769,answer_only_keep,',1,182,90'91,182,1,3,2,'::x_plus_y_plus1::abs_plain|'::x_plus_y_plus1::plain|'::x_plus_y_plus1::prefix_if_negative,182
0f0536de,answer_only_keep,},1,2376,25}95,2376,1,3,2,}::x_mul_y_plus1::abs_plain|}::x_mul_y_plus1::plain|}::x_mul_y_plus1::prefix_if_negative,2376
111e3b8e,answer_only_keep,^,1,41,32^10,41,1,3,2,^::x_plus_y_minus1::abs_plain|^::x_plus_y_minus1::plain|^::x_plus_y_minus1::prefix_if_negative,41
2a73a462,answer_only_keep,:,1,9302,93:02,9302,1,1,2,:::concat_xy::string_template,9302
324f918b,answer_only_keep,-,1,108,62-47,108,1,3,2,-::x_plus_y_minus1::abs_plain|-::x_plus_y_minus1::plain|-::x_plus_y_minus1::prefix_if_negative,108
372bb422,answer_only_keep,(,1,7560,75(60,7560,1,1,2,(::concat_xy::string_template,7560
37a2a7ff,answer_only_keep,/,1,8483,84/83,8483,1,1,2,/::concat_xy::string_template,8483
4e5fa95b,answer_only_keep,?,1,86,27?59,86,1,3,2,?::x_plus_y::abs_plain|?::x_plus_y::plain|?::x_plus_y::prefix_if_negative,86
585b3442,answer_only_keep,$,1,3104,32$97,3104,1,3,2,$::x_mul_y::abs_plain|$::x_mul_y::plain|$::x_mul_y::prefix_if_negative,3104
6cdc3a9f,answer_only_keep,!,1,3268,43!76,3268,1,3,2,!::x_mul_y::abs_plain|!::x_mul_y::plain|!::x_mul_y::prefix_if_negative,3268
71e02000,answer_only_keep,$,1,3767,37$67,3767,1,1,2,$::concat_xy::string_template,3767
7ed40e8a,answer_only_keep,&,1,180,99&82,180,1,3,2,&::x_plus_y_minus1::abs_plain|&::x_plus_y_minus1::plain|&::x_plus_y_minus1::prefix_if_negative,180
8fad338f,answer_only_keep,-,1,4751,72-66,4751,1,3,2,-::x_mul_y_minus1::abs_plain|-::x_mul_y_minus1::plain|-::x_mul_y_minus1::prefix_if_negative,4751
913b2d7f,answer_only_keep,],1,103,38]66,103,1,3,2,]::x_plus_y_minus1::abs_plain|]::x_plus_y_minus1::plain|]::x_plus_y_minus1::prefix_if_negative,103
95afbb5f,answer_only_keep,},1,4560,97}47,4560,1,3,2,}::x_mul_y_plus1::abs_plain|}::x_mul_y_plus1::plain|}::x_mul_y_plus1::prefix_if_negative,4560
963e85bb,answer_only_keep,$,1,76,52$24,76,1,3,2,$::x_plus_y::abs_plain|$::x_plus_y::plain|$::x_plus_y::prefix_if_negative,76
a19a75ba,answer_only_keep,#,1,2655,26#55,2655,1,1,2,#::concat_xy::string_template,2655
b9bf883d,answer_only_keep,?,1,100,25?75,100,1,3,2,?::x_plus_y::abs_plain|?::x_plus_y::plain|?::x_plus_y::prefix_if_negative,100
bd8aa942,answer_only_keep,},1,1881,33}57,1881,1,3,2,}::x_mul_y::abs_plain|}::x_mul_y::plain|}::x_mul_y::prefix_if_negative,1881
c0dd90c0,answer_only_keep,(,1,22,23(45,22,1,5,2,(::abs_diff::abs_plain|(::abs_diff::plain|(::abs_diff::prefix_if_negative|(::x_minus_y::abs_plain|(::y_minus_x::abs_plain,22
c7bcab48,answer_only_keep,#,1,5899,58#99,5899,1,1,2,#::concat_xy::string_template,5899
dbc6defc,answer_only_keep,},1,1886,82}23,1886,1,3,2,}::x_mul_y::abs_plain|}::x_mul_y::plain|}::x_mul_y::prefix_if_negative,1886
dcbf2073,answer_only_keep,-,1,124,77-48,124,1,3,2,-::x_plus_y_minus1::abs_plain|-::x_plus_y_minus1::plain|-::x_plus_y_minus1::prefix_if_negative,124
fc759a1a,answer_only_keep,^,1,127,48^79,127,1,3,2,^::x_plus_y::abs_plain|^::x_plus_y::plain|^::x_plus_y::prefix_if_negative,127
fef61ca1,answer_only_keep,],1,111,18]94,111,1,3,2,]::x_plus_y_minus1::abs_plain|]::x_plus_y_minus1::plain|]::x_plus_y_minus1::prefix_if_negative,111
2beb5851,manual_audit_priority,[,2,23,10[33,23,1,6,4,[::abs_diff::abs_plain|[::abs_diff::plain|[::abs_diff::prefix_if_negative|[::abs_diff_2d::string_template|[::x_minus_y::abs_plain|[::y_minus_x::abs_plain,-23|10|23|[23
f6ca90f6,manual_audit_priority,{,2,31,54{23,31,1,1,4,{::x_minus_y::prefix_if_negative,31|{23|{31
0c8a8a16,manual_audit_priority,{,1,{17,37{54,{17,1,1,4,{::x_minus_y::prefix_if_negative,-17|17|37|{17
53b48918,manual_audit_priority,+,1,81,91+10,81,1,6,4,+::abs_diff::abs_plain|+::abs_diff::plain|+::abs_diff::prefix_if_negative|+::abs_diff_2d::string_template|+::x_minus_y::abs_plain|+::y_minus_x::abs_plain,+81|-81|81
5dc0aca5,manual_audit_priority,+,1,3,15+12,3,1,5,4,+::abs_diff::abs_plain|+::abs_diff::plain|+::abs_diff::prefix_if_negative|+::x_minus_y::abs_plain|+::y_minus_x::abs_plain,+3|-3|12|3
9b458fbc,manual_audit_priority,[,1,39,34[73,39,1,7,4,[::abs_diff::abs_plain|[::abs_diff::plain|[::abs_diff::prefix_if_negative|[::x_minus_y::abs_plain|[::y_minus_x::abs_plain|[::y_minus_x::plain|[::y_minus_x::prefix_if_negative,39|5
b03ab026,manual_audit_priority,{,1,74,97{23,74,1,1,4,{::x_minus_y::prefix_if_negative,5|74
9a5b6b28,manual_audit_priority,^,3,^22,81^59,^22,1,3,2,^::abs_diff::prefix_always_abs|^::x_minus_y::prefix_always_abs|^::y_minus_x::prefix_always_abs,22|^22
224efda1,manual_audit_priority,],2,7,61]54,7,1,1,2,]::x_minus_y::prefix_if_negative,7|]07|]7
03f07b43,manual_audit_priority,`,1,61,81`20,61,1,6,2,`::abs_diff::abs_plain|`::abs_diff::plain|`::abs_diff::prefix_if_negative|`::abs_diff_2d::string_template|`::x_minus_y::abs_plain|`::y_minus_x::abs_plain,1|61
0bcffccd,manual_audit_priority,`,1,10,44`54,10,1,6,2,`::abs_diff::abs_plain|`::abs_diff::plain|`::abs_diff::prefix_if_negative|`::abs_diff_2d::string_template|`::x_minus_y::abs_plain|`::y_minus_x::abs_plain,-10|10|44|`10
2c8e2e06,manual_audit_priority,&,1,&52,38&90,&52,1,1,2,&::x_minus_y::prefix_if_negative,&52|-52|38|52
5787c3d0,manual_audit_priority,^,1,^1,85^86,^1,1,3,2,^::abs_diff::prefix_always_abs|^::x_minus_y::prefix_always_abs|^::y_minus_x::prefix_always_abs,1|^1|^85
8158a14c,manual_audit_priority,),1,46,49)03,46,1,1,2,)::x_minus_y::prefix_if_negative,)03|)3|)46|46
da3f727d,manual_audit_priority,/,1,/14,59/73,/14,1,1,2,/::x_minus_y::prefix_if_negative,-14|/14|14|59
e9afa4a0,manual_audit_priority,},1,}51,13}64,}51,1,4,2,}::abs_diff::prefix_always_abs|}::x_minus_y::prefix_always_abs|}::x_minus_y::prefix_if_negative|}::y_minus_x::prefix_always_abs,}12|}51
552e14d7,verified_trace_ready,+,4,1756,56+17,1756,1,1,20,+::concat_yx::string_template,1756
41e6cbfc,verified_trace_ready,+,3,9318,18+93,9318,1,1,20,+::concat_yx::string_template,9318
4d8f8111,verified_trace_ready,+,2,7601,01+76,7601,1,1,20,+::concat_yx::string_template,7601
8dea05d7,verified_trace_ready,+,2,3907,07+39,3907,1,1,20,+::concat_yx::string_template,3907
9760032a,verified_trace_ready,+,2,9372,72+93,9372,1,1,20,+::concat_yx::string_template,9372
99e2cf41,verified_trace_ready,+,2,4415,15+44,4415,1,1,20,+::concat_yx::string_template,4415
b989c740,verified_trace_ready,+,2,8618,18+86,8618,1,1,20,+::concat_yx::string_template,8618
d3b20e29,verified_trace_ready,+,2,3922,22+39,3922,1,1,20,+::concat_yx::string_template,3922
f3e08a24,verified_trace_ready,+,2,0548,48+05,0548,1,1,20,+::concat_yx::string_template,0548
52c62a3e,verified_trace_ready,*,3,1292,92*12,1292,1,1,13,*::concat_yx::string_template,1292
7c72ad99,verified_trace_ready,*,3,2733,33*27,2733,1,1,13,*::concat_yx::string_template,2733
8321a400,verified_trace_ready,*,3,6915,15*69,6915,1,1,13,*::concat_yx::string_template,6915
427ba852,verified_trace_ready,*,2,2214,14*22,2214,1,1,13,*::concat_yx::string_template,2214
9dd8adaa,verified_trace_ready,*,2,4308,08*43,4308,1,1,13,*::concat_yx::string_template,4308
c4f66ede,verified_trace_ready,*,2,6125,25*61,6125,1,1,13,*::concat_yx::string_template,6125
118889da,verified_trace_ready,{,3,10,66{56,10,1,1,4,{::x_minus_y::prefix_if_negative,10
2af7134e,verified_trace_ready,+,3,20,61+41,20,1,5,4,+::abs_diff::abs_plain|+::abs_diff::plain|+::abs_diff::prefix_if_negative|+::x_minus_y::abs_plain|+::y_minus_x::abs_plain,20
ab779293,verified_trace_ready,[,2,78,89[11,78,1,5,4,[::abs_diff::abs_plain|[::abs_diff::plain|[::abs_diff::prefix_if_negative|[::x_minus_y::abs_plain|[::y_minus_x::abs_plain,78
c37a2a23,verified_trace_ready,"""",2,5850,"90""65",5850,1,3,4,"""::x_mul_y::abs_plain|""::x_mul_y::plain|""::x_mul_y::prefix_if_negative",5850
db6a5663,verified_trace_ready,"""",2,2945,"31""95",2945,1,3,4,"""::x_mul_y::abs_plain|""::x_mul_y::plain|""::x_mul_y::prefix_if_negative",2945
dbd0e3c9,verified_trace_ready,*,2,5631,56*31,5631,1,1,4,*::concat_xy::string_template,5631
dfec0ed4,verified_trace_ready,*,2,9370,93*70,9370,1,1,4,*::concat_xy::string_template,9370
5b06502f,verified_trace_ready,!,3,1768,31!57,1768,1,3,3,!::x_mul_y_plus1::abs_plain|!::x_mul_y_plus1::plain|!::x_mul_y_plus1::prefix_if_negative,1768
1322241b,verified_trace_ready,',2,61,26'35,61,1,3,3,'::x_plus_y::abs_plain|'::x_plus_y::plain|'::x_plus_y::prefix_if_negative,61
1c48f9aa,verified_trace_ready,{,2,8610,86{10,8610,1,1,3,{::concat_xy::string_template,8610
35661801,verified_trace_ready,',2,128,90'38,128,1,3,3,'::x_plus_y::abs_plain|'::x_plus_y::plain|'::x_plus_y::prefix_if_negative,128
3580648f,verified_trace_ready,-,2,2640,26-40,2640,1,1,3,-::concat_xy::string_template,2640
3efc46c1,verified_trace_ready,[,2,3964,39[64,3964,1,1,3,[::concat_xy::string_template,3964
54c9bde5,verified_trace_ready,-,2,3064,30-64,3064,1,1,3,-::concat_xy::string_template,3064
680f19b3,verified_trace_ready,?,2,9756,97?56,9756,1,1,3,?::concat_xy::string_template,9756
76e6f646,verified_trace_ready,{,2,6557,65{57,6557,1,1,3,{::concat_xy::string_template,6557
91488dc9,verified_trace_ready,?,2,3431,34?31,3431,1,1,3,?::concat_xy::string_template,3431
a8e033fe,verified_trace_ready,?,2,6854,68?54,6854,1,1,3,?::concat_xy::string_template,6854
d490911e,verified_trace_ready,[,2,139,40[98,139,1,3,3,[::x_plus_y_plus1::abs_plain|[::x_plus_y_plus1::plain|[::x_plus_y_plus1::prefix_if_negative,139
dc73d295,verified_trace_ready,*,2,86,22*65,86,1,3,3,*::x_plus_y_minus1::abs_plain|*::x_plus_y_minus1::plain|*::x_plus_y_minus1::prefix_if_negative,86
f35a488d,verified_trace_ready,[,2,162,81[80,162,1,3,3,[::x_plus_y_plus1::abs_plain|[::x_plus_y_plus1::plain|[::x_plus_y_plus1::prefix_if_negative,162
f94810f5,verified_trace_ready,{,2,1592,15{92,1592,1,1,3,{::concat_xy::string_template,1592
04322d27,verified_trace_ready,$,4,2891,59$49,2891,1,3,2,$::x_mul_y::abs_plain|$::x_mul_y::plain|$::x_mul_y::prefix_if_negative,2891
0505ab22,verified_trace_ready,-,3,1499,20-75,1499,1,3,2,-::x_mul_y_minus1::abs_plain|-::x_mul_y_minus1::plain|-::x_mul_y_minus1::prefix_if_negative,1499
1e248995,verified_trace_ready,^,3,31,13^18,31,1,3,2,^::x_plus_y::abs_plain|^::x_plus_y::plain|^::x_plus_y::prefix_if_negative,31
44e69b7e,verified_trace_ready,%,3,119,83%35,119,1,3,2,%::x_plus_y_plus1::abs_plain|%::x_plus_y_plus1::plain|%::x_plus_y_plus1::prefix_if_negative,119
5c938bea,verified_trace_ready,(,3,27,48(75,27,1,5,2,(::abs_diff::abs_plain|(::abs_diff::plain|(::abs_diff::prefix_if_negative|(::x_minus_y::abs_plain|(::y_minus_x::abs_plain,27
8c6a158e,verified_trace_ready,},3,}30,28}58,}30,1,3,2,}::abs_diff::prefix_always_abs|}::x_minus_y::prefix_always_abs|}::y_minus_x::prefix_always_abs,}30
e4479bb1,verified_trace_ready,(,3,(35,56(91,(35,1,1,2,(::x_minus_y::prefix_if_negative,(35
e9b69bf8,verified_trace_ready,],3,15,99]84,15,1,1,2,]::x_minus_y::prefix_if_negative,15
ff8409cd,verified_trace_ready,),3,9,28)19,9,1,1,2,)::x_minus_y::prefix_if_negative,9
118f8c86,verified_trace_ready,},2,1,50}49,1,1,1,2,}::x_minus_y::prefix_if_negative,1
