id,category,bucket,selection_tier,template_subtype,teacher_solver_candidate,recommended_repeat_count,assistant_styles,proxy_failed,validation_failed,hard_score,binary_family_key,bit_query_binary,source_tags
0520a6ec,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,3,exact_rule_commit|exact_closure_commit|anti_default1_commit,True,True,6.0,"choose(shl,shr,rol)",11010000,base_to_current_validation_regressed|binary_structured_exact_core|current_proxy_fail|current_validation_fail|hard_default1_target|measured_regression|train_recommended_learning_target_v1|v3_to_current_proxy_regressed|v3_to_current_validation_regressed
59c78e51,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_not_formula_manual,3,exact_rule_commit|exact_closure_commit|anti_default1_commit,True,False,3.0,"choose(ror,nibble_swap,shl)",10010000,binary_structured_exact_core|current_proxy_fail|hard_default1_target|measured_regression|train_recommended_learning_target_v1
0a50c4a8,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,3,exact_rule_commit|exact_closure_commit|anti_default1_commit,False,False,6.0,"choose(shl,shr,ror)",11101000,base_to_current_proxy_improved|binary_structured_exact_core|hard_default1_target|measured_regression|train_recommended_learning_target_v1
17fd9612,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,3,exact_rule_commit|exact_closure_commit|anti_default1_commit,False,False,5.0,"choose(shl,shr,ror)",00110100,binary_structured_exact_core|hard_default1_target|measured_regression|train_recommended_learning_target_v1
8e5d6fe6,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,3,exact_rule_commit|exact_closure_commit|anti_default1_commit,False,False,6.0,"choose(rol,ror,shr)",00111100,binary_structured_exact_core|hard_default1_target|measured_regression|train_recommended_learning_target_v1
4ac6f0cb,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,8.0,"xor(shl,shr)",01010101,binary_structured_exact_core|train_recommended_learning_target_v1
04d492a9,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",10011111,binary_structured_exact_core|train_recommended_learning_target_v1
0a195a74,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",11001101,binary_structured_exact_core|train_recommended_learning_target_v1
16e151ec,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",10001101,binary_structured_exact_core|train_recommended_learning_target_v1
18544cb0,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",01100011,binary_structured_exact_core|train_recommended_learning_target_v1
20cdbdb1,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",10001110,binary_structured_exact_core|train_recommended_learning_target_v1
25764d5f,bit_manipulation,binary_structured_exact_core,verified_trace_ready,bit_structured_byte_formula,binary_structured_byte_formula,2,exact_rule_commit|exact_closure_commit,False,False,6.0,"xor(shl,shr)",10001000,binary_structured_exact_core|train_recommended_learning_target_v1
