family_short,selection_reason,benchmark_name,benchmark_role,id,family,family_short,template_subtype,selection_tier,teacher_solver_candidate,answer_type,num_examples,prompt_len_chars,hard_score,group_signature,query_raw,answer,prompt,benchmark_index
gravity,top8_win,general_stable_set,stable_replay,565bc498,gravity_constant,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,numeric,3,280,0.0,gbin10__dec2,4.3,94.71,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.54s, distance = 12.15 m
For t = 2.4s, distance = 29.5 m
For t = 3.0s, distance = 46.1 m
Now, determine the falling distance for t = 4.3s given d = 0.5*g*t^2.",2
gravity,base_win,general_stable_set,stable_replay,4265fac8,gravity_constant,gravity,gravity_half_g_t2,verified_trace_ready,gravity_numeric_rule,numeric,3,282,0.0,gbin5__dec2,2.07,11.01,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.88s, distance = 9.09 m
For t = 3.57s, distance = 32.76 m
For t = 3.9s, distance = 39.1 m
Now, determine the falling distance for t = 2.07s given d = 0.5*g*t^2.",8
unit,top8_win,general_stable_set,stable_replay,34f18cf1,unit_conversion,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,numeric,3,198,1.0,rbinlt1__qbin4,40.52,39.20,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
38.5 m becomes 37.24
6.9 m becomes 6.68
44.95 m becomes 43.48
Now, convert the following measurement: 40.52 m",55
unit,base_win,general_stable_set,stable_replay,0fdc689e,unit_conversion,unit,unit_fixed_ratio,verified_trace_ready,unit_numeric_rule,numeric,3,198,1.0,rbinlt1__qbin4,44.65,29.56,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
5.54 m becomes 3.67
12.02 m becomes 7.96
10.76 m becomes 7.12
Now, convert the following measurement: 44.65 m",51
binary,top8_win,binary_hard_set,hard_binary_watch,6818b555,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,10,510,6.0,unknown__ex10__qhwmid,11000101,10000000,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01101110 -> 00000000
10001011 -> 10000001
10010110 -> 00000001
10101110 -> 00000001
00101000 -> 00000000
01111110 -> 00000000
00110101 -> 10000000
10101100 -> 00000000
11011010 -> 00000001
00101100 -> 00000000

Now, determine the output for: 11000101",14
binary,base_win,binary_hard_set,hard_binary_watch,bcdf9198,bit_manipulation,binary,bit_other,verified_trace_ready,binary_affine_xor,binary8,9,489,3.0,or_mask__ex9__qhwmid,01100010,11111111,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10001011 -> 11111111
00011111 -> 11111111
01011100 -> 11111111
10101000 -> 11111111
11110010 -> 11111111
10111000 -> 11111111
01111100 -> 11111111
11011010 -> 11111111
10101111 -> 11111111

Now, determine the output for: 01100010",2
symbol,top8_win,symbol_watch_set,symbol_watch,b69391b8,symbol_equation,symbol,numeric_2x2,answer_only_keep,symbol_numeric_operator_formula,numeric,4,198,1.0,atypenumeric__alen2__risksafe,52'14,66,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
30{78 = 2339
66'98 = 164
96{56 = 5375
87{88 = 7655
Now, determine the result for: 52'14",25
symbol,base_win,symbol_watch_set,symbol_watch,5b06502f,symbol_equation,symbol,numeric_2x2,verified_trace_ready,symbol_numeric_operator_formula,numeric,5,208,3.0,atypenumeric__alen4__risksafe,31!57,1768,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
20!22 = 441
37^62 = 25
77!93 = 7162
16!70 = 1121
98<87 = 185
Now, determine the result for: 31!57",1
text,top8_win,general_stable_set,stable_replay,5e5ebad6,text_decryption,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,text_phrase,3,309,0.0,wc4__lensig3-7-4-7__charpatmid,ait neyfqeh dfby pohhosv,the magical king follows,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
dbfyia qievtv ait meld uood -> knight chases the dark book
kcttb qlteatv ntvveyt -> queen creates message
ait qoholpch sfxelm slfatv -> the colorful wizard writes
Now, decrypt the following text: ait neyfqeh dfby pohhosv",162
text,base_win,general_stable_set,stable_replay,fbd58e38,text_decryption,text,text_monoalphabetic,verified_trace_ready,text_char_substitution,text_phrase,3,301,0.0,wc4__lensig4-5-4-6__charpatlow,fimo omkye zjkm xkmojz,bird draws near garden,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
qizx jhtwlmje ejnmjv -> king explores secret
rlgej ykvnuje vuj fmixuv qja -> mouse watches the bright key
rlgej omkye kmlgzo nkpj -> mouse draws around cave
Now, decrypt the following text: fimo omkye zjkm xkmojz",158
roman,sanity,general_stable_set,stable_replay,2e5b0b54,roman_numeral,roman,roman_standard,verified_trace_ready,roman_standard,roman,3,201,0.0,decade9__sub0,95,XCV,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
20 -> XX
1 -> I
51 -> LI
Now, write the number 95 in the Wonderland numeral system.",101
